source,mechanism,implementation,status,evidence,next_decision
First-place writeup,CatBoost native categories,src/home_credit/modeling/encoding.py; models.py,"Already represented, differently configured",CatBoost was benchmarked; not retained in 90/10 LightGBM release,Not proof of exact winning feature/view reproduction
First-place writeup,LightGBM complementarity,configs/model_release.json,Partially represented,Two LightGBM components; no final heterogeneous ensemble,Test genuinely different errors rather than model names
Native categorical documentation / leading tree models,Native LightGBM identity and identity+frequency,notebooks/13_categorical_identity_frontier.ipynb; reports/categorical_identity/,Recreated and validated as a negative result,Selection folds looked promising but frozen confirmation failed versus the saved champion,Close this direction; do not refit or submit
First-place writeup,DenseLight neural representation,Not implemented in inspected release,Not yet implemented,README explicitly says neural challengers were not evaluated,DenseLight remains a high-value post-release architecture gap
No-metric-hack ensemble writeup,CatBoost + LightGBM + neural blend,Not present in released ensemble,Not yet implemented as a complete system,Existing release is 90% tuned / 10% original LightGBM,Need training and temporally valid complementarity evidence
First-hand feature-processing account,Applicant versus related-person separation,src/home_credit/features/builder.py; 700-feature S3 manifest,Already represented,Selected columns include applicant and related groups,Do not regenerate this as a supposedly new family
First-hand feature-processing account,Raw-history robust distribution summaries,src/home_credit/features/distributions.py; history research,Adapted and tested; not promoted,Nonskew family +0.003490 vs older baseline; uncertain; current release unchanged,Do not count an uncertain local gain as a leaderboard result
First-hand feature-processing account,Distinct feature-processing views and categorical summaries,Feature research modules; release feature selection,Partial coverage; full leading-system parity unproven,Feature expansion and 1400-feature alternatives evaluated,Need a component-level registry and controlled comparisons
Temporal feature proposals,Prediction-time availability of event histories,src/home_credit/features/semantics.py; project README,Blocked in part by incomplete availability contracts,33 date fields lack complete event/availability contracts,Resolve individual contracts before temporal feature expansion
First-place metric-betting stage,Date restoration and probability manipulation,Not included,Excluded by project methodology,Not equivalent to genuine risk-discrimination improvement,No implementation or leaderboard exploitation in this handoff
